iteration,cost,best_cost,survived_frac,mean_abs_x,mean_abs_theta,mean_abs_x_dot,mean_abs_theta_dot,mean_abs_u,settle_abs_x,settle_abs_theta,kp_theta,ki_theta,kd_theta,kp_x,ki_x,kd_x
124,1.737204,1.737174,1.0000,0.024016,0.001259,0.010647,0.001914,0.016703,0.000755,0.000001,62.880272,0.549106,18.813061,2.795224,0.020416,1.621203
125,1.736227,1.736227,1.0000,0.024171,0.001256,0.010619,0.001912,0.016663,0.000753,0.000001,62.880272,0.549106,18.813061,2.790855,0.016909,1.621203
126,1.740832,1.736227,1.0000,0.024871,0.001290,0.010921,0.001899,0.016822,0.000809,0.000003,62.398786,0.533669,19.240236,2.672781,0.019168,1.370136
127,1.734712,1.734712,1.0000,0.024409,0.001248,0.010570,0.001898,0.016602,0.000741,0.000001,63.928523,0.549106,18.813061,2.790855,0.016909,1.621203
128,1.738441,1.734712,1.0000,0.024451,0.001247,0.010565,0.001898,0.016596,0.000790,0.000001,63.928523,0.567669,18.813061,2.790855,0.016909,1.621203
129,1.734269,1.734269,1.0000,0.024503,0.001254,0.010614,0.001899,0.016624,0.000744,0.000001,63.928523,0.549106,19.035814,2.790855,0.016909,1.621203
130,1.737763,1.734269,1.0000,0.023700,0.001252,0.010588,0.001922,0.016651,0.000735,0.000002,63.928523,0.549106,19.035814,2.894806,0.016909,1.621203
131,1.734766,1.734269,1.0000,0.024393,0.001257,0.010638,0.001900,0.016657,0.000743,0.000002,63.928523,0.549106,19.035814,2.790855,0.019879,1.621203
132,1.735018,1.734269,1.0000,0.024599,0.001250,0.010574,0.001898,0.016615,0.000744,0.000002,63.928523,0.549106,19.035814,2.790855,0.016909,1.710304
133,1.753183,1.734269,1.0000,0.026284,0.001254,0.010627,0.001857,0.016565,0.000950,0.000008,64.048884,0.572274,18.989051,2.605203,0.015657,1.652155
134,1.730721,1.730721,1.0000,0.024462,0.001254,0.010619,0.001899,0.016630,0.000696,0.000001,63.928523,0.530543,19.035814,2.790855,0.016909,1.621203
135,1.731148,1.730721,1.0000,0.024368,0.001249,0.010575,0.001898,0.016608,0.000693,0.000001,63.928523,0.530543,18.813061,2.790855,0.016909,1.621203
136,1.732131,1.730721,1.0000,0.025191,0.001257,0.010646,0.001880,0.016617,0.000714,0.000004,63.928523,0.530543,19.035814,2.702496,0.016909,1.621203
137,1.741140,1.730721,1.0000,0.024625,0.001252,0.010598,0.001898,0.016602,0.000831,0.000001,63.928523,0.530543,19.035814,2.790855,0.014385,1.621203
138,1.731074,1.730721,1.0000,0.024383,0.001258,0.010655,0.001900,0.016642,0.000701,0.000001,63.928523,0.530543,19.035814,2.790855,0.016909,1.545467
139,1.730984,1.730721,1.0000,0.024405,0.001256,0.010630,0.001902,0.016644,0.000699,0.000001,63.678821,0.530543,19.035814,2.790855,0.016909,1.621203
140,1.733355,1.730721,1.0000,0.025234,0.001257,0.010635,0.001881,0.016633,0.000724,0.000005,63.674653,0.530027,19.014319,2.693943,0.017723,1.684434
141,1.730488,1.730488,1.0000,0.024524,0.001258,0.010648,0.001899,0.016645,0.000698,0.000001,63.928523,0.530543,19.183883,2.790855,0.016909,1.621203
142,1.731766,1.730488,1.0000,0.025225,0.001260,0.010674,0.001881,0.016633,0.000715,0.000003,63.928523,0.530543,19.183883,2.706052,0.016909,1.621203
143,1.730491,1.730488,1.0000,0.024524,0.001258,0.010648,0.001899,0.016645,0.000698,0.000001,63.928523,0.530543,19.183883,2.790855,0.016908,1.621203
144,1.731445,1.730488,1.0000,0.024633,0.001253,0.010602,0.001898,0.016634,0.000696,0.000003,63.928523,0.530543,19.183883,2.790855,0.016909,1.723831
145,1.730047,1.730047,1.0000,0.024670,0.001253,0.010618,0.001891,0.016608,0.000691,0.000002,64.572279,0.530543,19.183883,2.790855,0.016909,1.621203
146,1.732489,1.730047,1.0000,0.024700,0.001253,0.010614,0.001891,0.016603,0.000726,0.000002,64.572279,0.543955,19.183883,2.790855,0.016909,1.621203
147,1.732255,1.730047,1.0000,0.023975,0.001252,0.010585,0.001916,0.016650,0.000695,0.000001,63.789281,0.538310,19.107306,2.862909,0.017247,1.697239
148,1.730987,1.730047,1.0000,0.024080,0.001251,0.010597,0.001907,0.016623,0.000685,0.000001,64.572279,0.530543,19.183883,2.865960,0.016909,1.621203
149,1.732255,1.730047,1.0000,0.024602,0.001255,0.010636,0.001892,0.016632,0.000716,0.000002,64.572279,0.530543,19.183883,2.790855,0.019055,1.621203
150,1.730887,1.730047,1.0000,0.024739,0.001251,0.010590,0.001890,0.016602,0.000691,0.000003,64.572279,0.530543,19.183883,2.790855,0.016909,1.685579
151,1.730488,1.730047,1.0000,0.024524,0.001258,0.010648,0.001899,0.016645,0.000698,0.000001,63.928523,0.530543,19.183883,2.790855,0.016909,1.621203
152,1.728328,1.728328,1.0000,0.024648,0.001254,0.010621,0.001891,0.016611,0.000668,0.000002,64.572279,0.519143,19.183883,2.790855,0.016909,1.621203
153,1.728548,1.728328,1.0000,0.024589,0.001250,0.010594,0.001891,0.016598,0.000665,0.000002,64.572279,0.519143,19.047085,2.790855,0.016909,1.621203
154,1.731849,1.728328,1.0000,0.024860,0.001254,0.010632,0.001882,0.016607,0.000706,0.000003,65.132464,0.518658,19.255359,2.777215,0.018722,1.615629
155,1.733681,1.728328,1.0000,0.024756,0.001252,0.010606,0.001891,0.016591,0.000745,0.000002,64.572279,0.519143,19.183883,2.790855,0.015085,1.621203
